"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"future.callr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6.0",NA,NA,NA,NA
"gamlss","/home/tmichele/projects/NWT/libraryNWT/4.0","5.2-0",NA,NA,NA,NA
"gamlss.data","/home/tmichele/projects/NWT/libraryNWT/4.0","5.1-4",NA,NA,NA,NA
"gamlss.dist","/home/tmichele/projects/NWT/libraryNWT/4.0","5.1-7",NA,NA,NA,NA
"gargle","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.0",NA,NA,NA,NA
"gbm","/home/tmichele/projects/NWT/libraryNWT/4.0","2.1.8",NA,NA,NA,NA
"gdalUtils","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.3.2",NA,NA,NA,NA
"generics","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.0",NA,NA,NA,NA
"gert","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"ggimage","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.8",NA,NA,NA,NA
"ggplot2","/home/tmichele/projects/NWT/libraryNWT/4.0","3.3.3",NA,NA,NA,NA
"ggplotify","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.5",NA,NA,NA,NA
"ggpubr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.0",NA,NA,NA,NA
"ggrepel","/home/tmichele/projects/NWT/libraryNWT/4.0","0.9.1",NA,NA,NA,NA
"ggsci","/home/tmichele/projects/NWT/libraryNWT/4.0","2.9",NA,NA,NA,NA
"ggsignif","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6.0",NA,NA,NA,NA
"ggthemes","/home/tmichele/projects/NWT/libraryNWT/4.0","4.2.4",NA,NA,NA,NA
"gh","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.0",NA,NA,NA,NA
"git2r","/home/tmichele/projects/NWT/libraryNWT/4.0","0.28.0",NA,NA,NA,NA
"gitcreds","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.1",NA,NA,NA,NA
"glmm","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.2",NA,NA,NA,NA
"globals","/home/tmichele/projects/NWT/libraryNWT/4.0","0.14.0",NA,NA,NA,NA
"glue","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.2",NA,NA,NA,NA
"googledrive","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.1",NA,NA,NA,NA
"gower","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.2",NA,NA,NA,NA
"gridBase","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4-7",NA,NA,NA,NA
"gridExtra","/home/tmichele/projects/NWT/libraryNWT/4.0","2.3",NA,NA,NA,NA
"gridGraphics","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5-1",NA,NA,NA,NA
"gtable","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.0",NA,NA,NA,NA
"haven","/home/tmichele/projects/NWT/libraryNWT/4.0","2.3.1",NA,NA,NA,NA
"here","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.1",NA,NA,NA,NA
"hexbin","/home/tmichele/projects/NWT/libraryNWT/4.0","1.28.2",NA,NA,NA,NA
"hexSticker","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.9",NA,NA,NA,NA
"highr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.8",NA,NA,NA,NA
"Hmisc","/home/tmichele/projects/NWT/libraryNWT/4.0","4.4-2",NA,NA,NA,NA
"hms","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.0",NA,NA,NA,NA
"htmlTable","/home/tmichele/projects/NWT/libraryNWT/4.0","2.1.0",NA,NA,NA,NA
"htmltools","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.1.1",NA,NA,NA,NA
"htmlwidgets","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5.3",NA,NA,NA,NA
"httpuv","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5.5",NA,NA,NA,NA
"httr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.2",NA,NA,NA,NA
"hunspell","/home/tmichele/projects/NWT/libraryNWT/4.0","3.0.1",NA,NA,NA,NA
"igraph","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.6",NA,NA,NA,NA
"influenceR","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.0",NA,NA,NA,NA
