"","Polygon","area","average_femaleSurvival","average_recruitment","stdErr_femaleSurvival","stdErr_recruitment","annualLambda","annualLambdaMax","annualLambdaMin","femSurvMod_recrMod","climateModel","Replicate","Year","minRib","maxRib","averageannualLambda"
"696","GSA North","metaHeards",0.859354701447158,0.298651054707252,0.0352549469883388,0.114243833735125,1.01020393708745,1.28305495939307,0.861178477002856,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.789716548744789,1.28305495939307,1.00865520944536
"697","GSA South","metaHeards",0.86314646949407,0.244212448854416,0.0351746212051392,0.0980274370778581,0.983201491468486,1.18138585358012,0.815690393452151,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.800047939712163,1.23829826964909,0.985918074231583
"698","GSA South","metaHeards",0.86314646949407,0.244212448854416,0.0351746212051392,0.0980274370778581,0.983201491468486,1.18138585358012,0.815690393452151,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.800047939712163,1.23829826964909,0.985918074231583
"699","Hay River Lowlands","metaHeards",0.861399297438722,0.220275584078949,0.042200161459382,0.0832661604032748,0.968014249546525,1.15665689871798,0.808274307813207,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.786393332026301,1.21935847079292,0.969396354734013
"700","Hay River Lowlands","metaHeards",0.861399297438722,0.220275584078949,0.042200161459382,0.0832661604032748,0.968014249546525,1.15665689871798,0.808274307813207,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.786393332026301,1.21935847079292,0.969396354734013
"701","Dehcho North_v2","metaHeards",0.859119738179433,0.234795391747444,0.0448074673124196,0.0969170111389082,0.973393944433341,1.20876139666685,0.79939062605254,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.79939062605254,1.21833717185818,0.975708487623837
"702","Dehcho North_v2","metaHeards",0.859119738179433,0.234795391747444,0.0448074673124196,0.0969170111389082,0.973393944433341,1.20876139666685,0.79939062605254,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.79939062605254,1.21833717185818,0.975708487623837
"703","Dehcho South_v2","metaHeards",0.848419943913471,0.199820507481317,0.0492707994659059,0.104883204313984,0.942594832836833,1.19403037157502,0.776187014758844,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.748296532157795,1.19403037157502,0.940426998072429
"704","Dehcho South_v2","metaHeards",0.848419943913471,0.199820507481317,0.0492707994659059,0.104883204313984,0.942594832836833,1.19403037157502,0.776187014758844,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.748296532157795,1.19403037157502,0.940426998072429
"705","GSA North","metaHeards",0.862994051590464,0.294334997149832,0.0459340798611623,0.108209921259237,1.01191505969625,1.28546634130078,0.815817285631693,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.815817285631693,1.30018342060942,1.01030753721828
"706","GSA North","metaHeards",0.862994051590464,0.294334997149832,0.0459340798611623,0.108209921259237,1.01191505969625,1.28546634130078,0.815817285631693,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.815817285631693,1.30018342060942,1.01030753721828
"707","GSA South","metaHeards",0.862673643431641,0.235832073484681,0.0376964029064363,0.0906870819288369,0.977994929468694,1.1806240047943,0.822160829584277,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.783983733157968,1.23654040369549,0.983449715382546
"708","GSA South","metaHeards",0.862673643431641,0.235832073484681,0.0376964029064363,0.0906870819288369,0.977994929468694,1.1806240047943,0.822160829584277,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.783983733157968,1.23654040369549,0.983449715382546
"709","Hay River Lowlands","metaHeards",0.860089892313106,0.221214234593914,0.0464230634456747,0.0940074300206978,0.967052816635007,1.19573356324855,0.806773539756384,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.778873918294481,1.20448686601463,0.968086102201517
"710","Hay River Lowlands","metaHeards",0.860089892313106,0.221214234593914,0.0464230634456747,0.0940074300206978,0.967052816635007,1.19573356324855,0.806773539756384,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2061",0.778873918294481,1.20448686601463,0.968086102201517
"711","Dehcho North_v2","metaHeards",0.858563985151276,0.234795391747444,0.0467475108429153,0.0969170111389082,0.972764268954862,1.22453093330567,0.805066571711051,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.781329409546,1.22453093330567,0.974655494913591
"712","Dehcho North_v2","metaHeards",0.858563985151276,0.234795391747444,0.0467475108429153,0.0969170111389082,0.972764268954862,1.22453093330567,0.805066571711051,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.781329409546,1.22453093330567,0.974655494913591
"713","Dehcho South_v2","metaHeards",0.845675310469475,0.199820507481317,0.039010807818713,0.104883204313984,0.939545544190448,1.17985101374633,0.796802875918698,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.765504404291399,1.17985101374633,0.937873657356487
"714","Dehcho South_v2","metaHeards",0.845675310469475,0.199820507481317,0.039010807818713,0.104883204313984,0.939545544190448,1.17985101374633,0.796802875918698,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.765504404291399,1.17985101374633,0.937873657356487
"715","GSA North","metaHeards",0.859663642699174,0.294334997149832,0.0505205253481208,0.108209921259237,1.00800994481645,1.29347710566546,0.793990201955299,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.777166158051244,1.29347710566546,1.00664127663917
"716","GSA North","metaHeards",0.859663642699174,0.294334997149832,0.0505205253481208,0.108209921259237,1.00800994481645,1.29347710566546,0.793990201955299,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.777166158051244,1.29347710566546,1.00664127663917
"717","GSA South","metaHeards",0.863890983348879,0.235832073484681,0.0494467788182013,0.0906870819288369,0.979375002078497,1.21289958313537,0.795515930240319,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.787481941537032,1.23561637289751,0.983862198019823
"718","GSA South","metaHeards",0.863890983348879,0.235832073484681,0.0494467788182013,0.0906870819288369,0.979375002078497,1.21289958313537,0.795515930240319,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.787481941537032,1.23561637289751,0.983862198019823
"719","Hay River Lowlands","metaHeards",0.861308861599831,0.221214234593914,0.0463496240161717,0.0940074300206978,0.968423379982692,1.20557314710221,0.804551828672564,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.785448263405944,1.2067356497903,0.969257439131692
"720","Hay River Lowlands","metaHeards",0.861308861599831,0.221214234593914,0.0463496240161717,0.0940074300206978,0.968423379982692,1.20557314710221,0.804551828672564,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2061",0.785448263405944,1.2067356497903,0.969257439131692
"721","Dehcho North_v2","metaHeards",0.859119738179433,0.235220155553666,0.0404975749653411,0.0942661459603802,0.973628230040179,1.17527936785088,0.809079928759553,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.797998862510143,1.20626216922635,0.975585039323322
"722","Dehcho North_v2","metaHeards",0.859119738179433,0.235220155553666,0.0404975749653411,0.0942661459603802,0.973628230040179,1.17527936785088,0.809079928759553,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.797998862510143,1.20626216922635,0.975585039323322
"723","Dehcho South_v2","metaHeards",0.848419943913471,0.196564897137507,0.0530575609478348,0.097982959050187,0.940893234879172,1.21542377394422,0.772898491637402,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.771832378420729,1.21542377394422,0.939702113331688
